metric,Basic CNN,ResNet-18,difference,relative_difference_percent
Parameters,288746,11173962,10885216,3769.8239975618712
Best validation accuracy (%),94.24,98.42,4.180000000000007,4.435483870967749
Best epoch,50,47,-3,-6.0
Final training accuracy (%),93.62,98.56,4.939999999999998,5.276650288399912
Final validation accuracy (%),94.24,98.3,4.060000000000002,4.3081494057724985
Final training loss,0.1791,0.0403894682056374,-0.1387105317943626,-77.44864980143082
Final validation loss,0.1712,0.0684564190864563,-0.10274358091354369,-60.01377389809795
Training time (minutes),23.44,44.068949361642204,20.628949361642203,88.00746314693772
