epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds
1,1.4528754422293768,46.58222222222222,1.171019821548462,57.58,51.839497089385986
2,1.0057331674257914,64.23555555555555,0.8953097078323364,68.32,52.01107358932495
3,0.8085891443676418,71.30888888888889,0.8652879602432251,70.22,51.077202796936035
4,0.6665865327093337,76.78,0.6177544551849365,79.36,50.950459241867065
5,0.5758059277004666,79.99777777777778,0.7780092161178589,75.32,50.951916217803955
6,0.5105978096114264,82.28888888888889,0.5126950316429139,82.54,54.32329559326172
7,0.4564994915008545,84.21555555555555,0.4757842194080353,84.04,53.09040331840515
8,0.4205815962738461,85.44888888888889,0.4314058033943176,85.5,51.88003492355347
9,0.38220840334892275,86.7911111111111,0.3627412919998169,87.9,51.54510569572449
10,0.3507645566357507,87.72888888888889,0.4212318374633789,86.12,51.88382530212402
11,0.32606727888054315,88.74666666666667,0.3340615784168243,88.06,53.58709096908569
12,0.2972831777440177,89.66888888888889,0.3509566891670227,88.04,53.801491022109985
13,0.27845537143813237,90.40444444444445,0.25832284784317017,91.28,52.60427522659302
14,0.25827978944248625,91.09555555555555,0.3082934600830078,90.06,53.98938727378845
15,0.23925293222003513,91.71111111111111,0.2533219383239746,91.5,53.48348927497864
16,0.2230255043440395,92.19555555555556,0.21251300847530366,92.56,51.630088090896606
17,0.21043205341498056,92.58222222222223,0.20035160055160522,93.12,51.15029239654541
18,0.19675421908166674,93.13111111111111,0.17587745122909546,93.76,51.50491976737976
19,0.18397294625706143,93.52888888888889,0.21837037044763566,92.66,51.31914949417114
20,0.1755070775296953,93.8488888888889,0.1467469625174999,95.06,51.40340542793274
21,0.15664618000454372,94.58888888888889,0.16689696321487427,94.5,51.91806936264038
22,0.1518385838892725,94.69333333333333,0.13600362484455109,95.12,51.59232211112976
23,0.13829571295049456,95.17777777777778,0.17680349016189575,94.06,51.24481725692749
24,0.13513083466291428,95.24666666666667,0.1239334490776062,95.96,53.190956354141235
25,0.12311328097714318,95.58,0.14616825292110444,94.78,53.52026438713074
26,0.11510914529164633,95.96444444444444,0.20417544202804566,93.1,52.04062843322754
27,0.1118790297985077,96.07555555555555,0.14625484585762025,95.2,52.01814341545105
28,0.10467364046838548,96.21777777777778,0.15428776680827141,95.34,52.266889810562134
29,0.09843480456140306,96.51333333333334,0.10250067610740661,96.64,52.180298805236816
30,0.09513580119477379,96.66222222222223,0.08042916538715363,97.26,51.970879793167114
31,0.08616262418693967,96.90666666666667,0.0975986454963684,96.72,52.26749229431152
32,0.08176756446229087,97.11555555555556,0.08299916477203369,97.24,52.455487966537476
33,0.08020791070726183,97.24222222222222,0.10145471782684326,96.82,52.20742344856262
34,0.07456796577771505,97.36888888888889,0.09280943894386291,97.08,52.113500118255615
35,0.07675773530801137,97.29777777777778,0.10517562470436097,96.46,52.16966414451599
36,0.07013980816735162,97.56222222222222,0.09378517010211944,97.24,53.23013973236084
37,0.06410484855439928,97.72666666666667,0.07681360018849373,97.74,53.4288272857666
38,0.06359807794094086,97.76,0.10428925523217768,97.1,53.094279050827026
39,0.06156530770758788,97.8711111111111,0.06787323159594089,97.9,51.59561824798584
40,0.05555774696932898,98.03777777777778,0.06723899054527283,98.12,51.67330074310303
41,0.060312755507893036,97.94,0.09146543682217598,97.18,51.90436100959778
42,0.05221192885239919,98.1511111111111,0.09495893750786781,97.38,51.7242956161499
43,0.054093759205606246,98.11333333333333,0.06084862118959427,98.36,53.27810454368591
44,0.05006234628227022,98.21555555555555,0.0679041173696518,98.0,53.34102749824524
45,0.051248190153969655,98.17333333333333,0.08395783123970031,97.8,52.0535774230957
46,0.05019633393552568,98.21777777777778,0.0709565059274435,97.84,51.84175229072571
47,0.04371895686917835,98.44666666666667,0.05642857898622751,98.42,51.654624223709106
48,0.045199672488371534,98.40222222222222,0.0598111756760627,98.22,51.88505268096924
49,0.04720974801911248,98.35111111111111,0.06477135996818542,98.02,51.865718841552734
50,0.0403894682056374,98.56,0.0684564190864563,98.3,52.018704891204834
